"Дата","Втрати танків армії рф","дельта"
2022-02-27,146,146
2022-02-28,191,45
2022-03-01,198,7
2022-03-02,211,13
2022-03-03,217,6
2022-03-04,251,34
2022-03-05,269,18
2022-03-06,285,16
2022-03-07,290,5
2022-03-08,303,13
2022-03-09,317,14
2022-03-10,335,18
2022-03-11,353,18
2022-03-12,362,9
2022-03-13,374,12
2022-03-14,389,15
2022-03-15,404,15
2022-03-16,430,26
2022-03-17,444,14
2022-03-18,450,6
2022-03-19,466,16
2022-03-20,476,10
2022-03-21,498,22
2022-03-22,509,11
2022-03-23,517,8
2022-03-24,530,13
2022-03-25,561,31
2022-03-26,575,14
2022-03-27,582,7
2022-03-28,586,4
2022-03-29,597,11
2022-03-30,605,8
2022-03-31,614,9
2022-04-01,625,11
2022-04-02,631,6
2022-04-03,644,13
2022-04-04,647,3
2022-04-05,676,29
2022-04-06,684,8
2022-04-07,698,14
2022-04-08,700,2
2022-04-09,705,5
2022-04-10,722,17
2022-04-11,725,3
2022-04-12,732,7
2022-04-13,739,7
2022-04-14,753,14
2022-04-15,756,3
2022-04-16,762,6
2022-04-17,773,11
2022-04-18,790,17
2022-04-19,802,12
2022-04-20,815,13
2022-04-21,829,14
2022-04-22,838,9
2022-04-23,854,16
2022-04-24,873,19
2022-04-25,884,11
2022-04-26,918,34
2022-04-27,939,21
2022-04-28,970,31
2022-04-29,986,16
2022-04-30,1008,22
2022-05-01,1026,18
2022-05-02,1048,22
2022-05-03,1062,14
2022-05-04,1077,15
2022-05-05,1092,15
2022-05-06,1110,18
2022-05-07,1122,12
2022-05-08,1130,8
2022-05-09,1145,15
2022-05-10,1170,25
2022-05-11,1187,17
2022-05-12,1195,8
2022-05-13,1205,10
2022-05-14,1218,13
2022-05-15,1220,2
2022-05-16,1228,8
2022-05-17,1235,7
2022-05-18,1251,16
2022-05-19,1254,3
2022-05-20,1263,9
2022-05-21,1278,15
2022-05-22,1285,7
2022-05-23,1293,8
2022-05-24,1302,9
2022-05-25,1305,3
2022-05-26,1315,10
2022-05-27,1322,7
2022-05-28,1330,8
2022-05-29,1338,8
2022-05-30,1349,11
2022-05-31,1358,9
2022-06-01,1361,3
2022-06-02,1363,2
2022-06-03,1367,4
2022-06-04,1376,9
2022-06-05,1381,5
2022-06-06,1386,5
2022-06-07,1390,4
2022-06-08,1393,3
2022-06-09,1398,5
2022-06-10,1409,11
2022-06-11,1419,10
2022-06-12,1430,11
2022-06-13,1432,2
2022-06-14,1434,2
2022-06-15,1440,6
2022-06-16,1449,9
2022-06-17,1456,7
2022-06-18,1465,9
2022-06-19,1468,3
2022-06-20,1477,9
2022-06-21,1496,19
2022-06-22,1496,0
2022-06-23,1504,8
2022-06-24,1507,3
2022-06-25,1511,4
2022-06-26,1532,21
2022-06-27,1552,20
2022-06-28,1567,15
2022-06-29,1572,5
2022-06-30,1573,1
2022-07-01,1577,4
2022-07-02,1582,5
2022-07-03,1584,2
2022-07-04,1589,5
2022-07-05,1594,5
2022-07-06,1600,6
2022-07-07,1602,2
2022-07-08,1637,35
2022-07-09,1638,1
2022-07-10,1641,3
2022-07-11,1645,4
2022-07-12,1649,4
2022-07-13,1649,0
2022-07-14,1667,18
2022-07-15,1672,5
2022-07-16,0,
2022-07-17,1684,12
2022-07-18,1687,3
2022-07-19,1691,4
2022-07-20,1700,9
2022-07-21,1704,4
2022-07-22,1704,0
2022-07-23,1708,4
2022-07-24,1722,14
2022-07-25,1730,8
2022-07-26,1737,7
2022-07-27,1738,1
2022-07-28,1742,4
2022-07-29,1749,7
2022-07-30,1759,10
2022-07-31,1763,4
2022-08-01,1768,5
2022-08-02,1768,0
2022-08-03,1774,6
2022-08-04,1789,15
2022-08-05,1792,3
2022-08-06,1802,10
2022-08-07,1805,3
2022-08-08,1811,6
2022-08-09,1817,6
2022-08-10,1832,15
2022-08-11,1846,14
2022-08-12,1849,3
2022-08-13,1856,7
2022-08-14,1864,8
2022-08-15,1876,12
2022-08-16,1880,4
2022-08-17,1886,6
2022-08-18,1889,3
2022-08-19,1899,10
2022-08-20,1907,8
2022-08-21,1912,5
2022-08-22,1919,7
2022-08-23,1921,2
2022-08-24,1924,3
2022-08-25,1929,5
2022-08-26,1936,7
2022-08-27,1939,3
2022-08-28,1942,3
2022-08-29,1947,5
2022-08-30,1954,7
2022-08-31,1974,20
2022-09-01,1997,23
2022-09-02,2009,12
2022-09-03,2034,25
2022-09-04,2049,15
2022-09-05,2068,19
2022-09-06,2077,9
2022-09-07,2097,20
2022-09-08,2112,15
2022-09-09,2122,10
2022-09-10,2136,14
2022-09-11,2154,18
2022-09-12,2168,14
2022-09-13,2175,7
2022-09-14,2180,5
2022-09-15,2193,13
2022-09-16,2199,6
2022-09-17,2202,3
2022-09-18,2210,8
2022-09-19,2212,2
2022-09-20,2216,4
2022-09-21,2227,11
2022-09-22,2236,9
2022-09-23,2254,18
2022-09-24,2262,8
2022-09-25,2275,13
2022-09-26,2290,15
2022-09-27,2306,16
2022-09-28,2312,6
2022-09-29,2325,13
2022-09-30,2338,13
2022-10-01,2354,16
